City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Castro,BR,83.62,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
Corn Island,NI,83.14,light rain,12.1694,-83.0418,Big Fish Guest House
Altamira,BR,86.09,light rain,-3.2033,-52.2064,Requinte Hotel
Hilo,US,79.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
Giyani,ZA,83.46,broken clouds,-23.3025,30.7187,Kulani Country Lodge
Butaritari,KI,83.12,clear sky,3.0707,172.7902,Isles Sunset Lodge
Marsh Harbour,BS,80.4,broken clouds,26.5412,-77.0636,Abaco Beach Resort
Kavaratti,IN,81.43,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
Atuona,PF,77.61,light rain,-9.8,-139.0333,Villa Enata
Sorong,ID,79.59,overcast clouds,-0.8833,131.25,waigo splash hotel
Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
Victoria,HK,85.21,light rain,22.2855,114.1577,Mini Hotel Central
Orange,US,76.77,broken clouds,33.7,-117.7675,Meadows
Tabou,CI,77.61,overcast clouds,4.423,-7.3528,hotêl doufoulougou
Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
Paita,PE,77.56,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
Les Cayes,HT,87.13,scattered clouds,18.2,-73.75,Villa Orphee
Labuhan,ID,77.81,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
Port Blair,IN,79.11,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
Kavieng,PG,81.39,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
Meulaboh,ID,75.36,overcast clouds,4.1363,96.1285,Kost Pria
Kaseda,JP,76.05,clear sky,31.4167,130.3167,Sun Stay Kaseda
Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
Kingston,JM,88.75,light rain,17.997,-76.7936,The Jamaica Pegasus Hotel
Nago,JP,82.56,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
