City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Haines Junction,CA,60.7522,-137.5108,35.55,60,100,1.14,overcast clouds
Mataura,NZ,-46.1927,168.8643,43.48,94,17,2.73,few clouds
Punta Arenas,CL,-53.15,-70.9167,50.11,43,40,37.98,scattered clouds
Ushuaia,AR,-54.8,-68.3,49.66,43,75,21.85,broken clouds
Castro,BR,-24.7911,-50.0119,83.62,34,97,6.02,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,90,20.71,snow
Airai,TL,-8.9266,125.4092,57.72,77,12,2.77,few clouds
Vernon,CA,50.2581,-119.2691,62.62,54,41,1.01,scattered clouds
Hobart,AU,-42.8794,147.3294,48.06,91,90,5.75,overcast clouds
Tena,EC,-0.9833,-77.8167,90.36,47,63,6.76,light rain
Mahebourg,MU,-20.4081,57.7,72.25,68,75,17.27,light rain
Nikolskoye,RU,59.7035,30.7861,49.87,74,100,3.44,overcast clouds
Lenger,KZ,42.183,69.8839,56.64,39,100,2.55,overcast clouds
Upernavik,GL,72.7868,-56.1549,26.98,53,30,5.7,scattered clouds
Corn Island,NI,12.1694,-83.0418,83.14,74,100,7.96,light rain
Altamira,BR,-3.2033,-52.2064,86.09,66,40,3.44,light rain
Cape Town,ZA,-33.9258,18.4232,61.27,78,20,18.41,few clouds
Lumeje,AO,-11.55,20.7833,76.93,32,25,1.83,scattered clouds
Hilo,US,19.7297,-155.09,79.29,78,75,0.0,light rain
Taltal,CL,-25.4,-70.4833,66.18,64,24,6.06,few clouds
Chkalovskoye,RU,44.8392,133.0436,56.66,90,100,5.01,overcast clouds
Giyani,ZA,-23.3025,30.7187,83.46,25,53,4.63,broken clouds
Vestmannaeyjar,IS,63.4427,-20.2734,38.52,72,100,34.96,overcast clouds
Vaini,TO,-21.2,-175.2,71.76,94,20,5.75,few clouds
Huescar,ES,37.811,-2.5412,68.94,36,3,1.95,clear sky
Hay River,CA,60.8156,-115.7999,51.78,82,75,5.75,broken clouds
Millinocket,US,45.6573,-68.7098,64.51,52,1,9.22,clear sky
Staryy Nadym,RU,65.6118,72.6842,31.8,80,0,4.88,clear sky
Provideniya,RU,64.3833,-173.3,35.71,75,90,13.42,light rain
Butaritari,KI,3.0707,172.7902,83.12,77,10,23.94,clear sky
Alta Floresta,BR,-9.8756,-56.0861,91.22,52,0,6.91,clear sky
Marsh Harbour,BS,26.5412,-77.0636,80.4,60,77,10.8,broken clouds
Dimitrovgrad,RU,54.2139,49.6184,44.65,68,100,7.11,overcast clouds
Ahipara,NZ,-35.1667,173.1667,51.21,74,35,5.95,scattered clouds
Tasiilaq,GL,65.6145,-37.6368,35.76,56,100,7.65,overcast clouds
Hermanus,ZA,-34.4187,19.2345,59.9,83,62,7.38,broken clouds
Kavaratti,IN,10.5669,72.642,81.43,80,99,18.21,overcast clouds
Atuona,PF,-9.8,-139.0333,77.61,76,21,19.8,light rain
Talnakh,RU,69.4865,88.3972,32.45,76,100,2.28,overcast clouds
Grand Gaube,MU,-20.0064,57.6608,72.37,66,91,7.0,overcast clouds
Longyearbyen,SJ,78.2186,15.6401,37.24,75,75,11.5,broken clouds
Husavik,IS,66.0449,-17.3389,37.31,83,81,11.23,broken clouds
Okato,NZ,-39.2,173.8833,49.42,85,53,13.38,broken clouds
Sorong,ID,-0.8833,131.25,79.59,80,100,2.64,overcast clouds
New Norfolk,AU,-42.7826,147.0587,47.71,78,100,0.94,overcast clouds
Kapaa,US,22.0752,-159.319,80.58,71,75,3.0,light rain
